Phase 1,,,,,,Off-Meta Units,,,,,,,,,,
,,,,Lire(T)_Lass_Rufus_Amy_Reruby(T)_V1_73AA2DAE6705282FFCE50237006AB3DD06E2118D24AF82D7F9A19F01C129DCF518AC2B7E83376C51B6084781E845ED8E1031C6B1AA25A57BC236B7F7F42204796422D71725C4727136D73526F5368F55778B7CC7B71C92E402C39BC432DFFC472EB9E6A7E999AD7C5301CB3939F26B664CB9B501D760424D21C2B4BB24A055AC,,,,,,,,,,,,
Balance,Spirit,Spirit,Spirit,,,Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,Life,,
Lire T,Lass,Rufus,Amy,,,Lime T,Ryan,Lire T,Lapis T,Lass T,Arme S,Ronan T,Io T,Ley T,,
,,,,Jin_Lire(T)_Ronan(T)_Zero(T)_Reruby(T)_V1_107988800C06FE3E8DF3B8906F951882B7785E14679EB5CDD440802F4A1B8CEF7D2681FDB0876B58ED1D3E16FDF557051C8EDE6A52BB1185ECB16234000B21BDF68FAC33371BABD551271D0896F50D9D25E90B45A34472A97DEC7AA52FEF63445EA7442EED72509B48D4A3BAF0F4C3CAFC36E3554E464E71D9B89619C522C5FC,,,,,,,,,,,,"Click here for a video playlist of Altar of Time runs!
Click here for a video playlist of Altar of Time runs!
Click here for a video playlist of Altar of Time runs!
Click here for a video playlist of Altar of Time runs!
Click here for a video playlist of Altar of Time runs!
Click here for a video playlist of Altar of Time runs!
Click here for a video playlist of Altar of Time runs!
Click here for a video playlist of Altar of Time runs!
Click here for a video playlist of Altar of Time runs!
Click here for a video playlist of Altar of Time runs!
Click here for a video playlist of Altar of Time runs!
Click here for a video playlist of Altar of Time runs!
Click here for a video playlist of Altar of Time runs!
Click here for a video playlist of Altar of Time runs!
Click here for a video playlist of Altar of Time runs!
Click here for a video playlist of Altar of Time runs!
Click here for a video playlist of Altar of Time runs!
Click here for a video playlist of Altar of Time runs!
Click here for a video playlist of Altar of Time runs!
Click here for a video playlist of Altar of Time runs!
Click here for a video playlist of Altar of Time runs!
Click here for a video playlist of Altar of Time runs!
Click here for a video playlist of Altar of Time runs!
Click here for a video playlist of Altar of Time runs!
Click here for a video playlist of Altar of Time runs!
Click here for a video playlist of Altar of Time runs!
Click here for a video playlist of Altar of Time runs!
"
Balance,Balance,Balance,Balance,,,,,,,,,,,,,
Jin,Lire T,Ronan T,Zero T,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Phase 2,,,,,,Off-Meta Units,,,,,,,,,,
,,,,Callisto(T)_Edel_Myrielle_Nelia(T)_Mirfee_V1_2F890B5ED9FD12B1AE6067FBEF513E9DCD47F70CA51E5A6A4B3E9DEF81C8348D5661598EDED628D4CB27476972A1C5938F8B3E251C34E20B2D889A40BE4000F133F67B9B8DEBADE8C392AF6C705DA9EE18E63549A72E018E6ADDB1440D43D2941FE01CCF36183BDA52BB5CCBCB6E925B8F9564A03FE78B9E699C0C8FCC2614E6,,,,,,,,,,,,
Retribution,Retribution,Spirit,Retribution,,,Retribution,Retribution,Retribution,Retribution,Retribution,Retribution,Retribution,Retribution,,,
Cali T,Edel,Myri,Nelia T,,,Jin T,Nepteon,Sol,Ryan T,Io,Uno,Veigas T,Scarde,,,
,,,,Callisto(T)_Edel_Cindy(T)_Nelia(T)_Mirfee_V1_4A0671594A7D1DD67A4BA4B6D6AB136D0B9F042DC31B2C3D7F5D5430451F06A2A5D6B0F2D4D0E42D4A2DF10423167D7F43EE7AFE24CE1648ADC591D43108FBD358BD893C99585608EAB24D4F23166C41170AE210A2901EB31AA543E6DC75470CFC415150F28154ECFED8D97BA9DF917684068388BB1CA40E2FEA39F7067D5575,,,,,,,,,,,,
Retribution,Retribution,Retribution,Retribution,,,,,,,,,,,,,
Cali T,Edel,Cindy T,Nelia T,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Phase 3,,,,,,Off-Meta Units,,,,,,,,,,
,,,,Zero_Decanee(T)_Vice_Mayden(T)_Malefi(T)_V1_57BFFDADAA23C82AA407E3CAAEA9E0FEB757E28BF8278150D91F0B75B8A4B614F2296064994410DAC5316B4B13CA99880EED87943F6F8BEC513D9E3D32671F4A9F17417FE5E199DBA09CEC94FC50206B15F0A21E58402D2B6749293F69CBD6DD8BE647EA0C92C52B41FE29F595246CB3D1C96EB4C013523DFEF8EE4719BBFBC2,,,,,,,,,,,,
Ruin,Balance,Balance,Balance,,,Balance,Balance,Balance,Balance,Balance,Balance,,,,,
Zero,Deca T,Vice,Mayd T,,,Jin,Lime T,Lapis T,Lire T,Zero T,Io T,,,,,
,,,,Zero_Decanee(T)_Ganymede(T)_Mayden(T)_Malefi(T)_V1_E87A973126CAF10B7EAA7529872859040F1186BEC43F2C0B197960E55A671170E7C93298965A272E15F25F187E592CED90318486856EB3F669427273BE4A747A9114F10648622D372335613E6CAB3C35568C81E1F55F7EFD5F90FD899262936B98C195FD4D554DFB494CEED8EA131167B55394200DA25A3F39B25DD76255CA28,,,,,,,,,,,,
Ruin,Balance,Balance,Balance,,,,,,,,,,,,,
Zero,Deca T,Gany T,Mayd T,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Phase 4,,,,,,Off-Meta Units,,,,,,,,,,
,,,,Ai(T)_Elesis_Mayden_Urara_Reruby(S)_V1_68649CAC364A0D1CC62FE268954F4E8C6477BBD7C36B9F5780E0C6F1FBE2244672ED063275DCA5B5A0E586BCA62618351C4164A71FA9949666383EA28C020ABCD26279B44976E8B1B32C01BC3FF206B16DB4E4FD932F5C91D6B494306BD5A22FC769D4A116EA9E6BAAAD1BDFEF9782F9E9414CDA25557CCB0B6CA9AE28A35818,,,,,,,,,,,,
Life,Life,Life,Life,,,Life,Life,Life,Life,Spirit,Life,Life,Life,,,
Ai T,Elesis,Mayden,Urara,,,Tia,Amy T,Werner T,Bram,Mari,Lire,Ley T,Grandiel,,,
,,,,Ai(T)_Elesis_Lire(S)_Urara_Reruby(S)_V1_69C2F77306DE85F39FFCCFCAEF5AF6ECDFE283D09E01E91B21A3C391B5B7CE2DD6019925CAD7EFE80151F8FA37A45A8A1750FFDDC085D50E7019C3072A710B117A5A6CD30CB253DA8269767C83370046B9069DD7FF4E0D1AC24E0744CC14FC743A32519B533FF388CD72F94554DDB411C9CC7158B0F21DE253093CBB159E7EAB,,,,,,,,,,,,
Life,Life,Life,Life,,,,,,,,,,,,,
Ai T,Elesis,Lire S,Urara,,,,,,,,,,,,,
